model;version;instance;run;memoryMB;preprocessingTimeS;compileTimePassOneS;compileTimePassTwoS;totalCompileTimeS;compileOptimized;presolveTimeS;originalConstraints;originalVariables;originalCoefficients;presolvedConstraints;presolvedVariables;presolvedCoefficients;numberOfSolutions;bestObjective;bestBound;mipGap;isSolutionValid;objectiveByValidator;isCrashedCompile;isCrashedSolve
AllConstraints;v4;i26;6;57598;0.20;2,883.14;0.00;2,883.14;false;18.82;14886229;17085138;62562124;2917904;14292930;51583408;0;;;;;;false;true
AllConstraints;v4;i26;7;57598;0.19;2,859.43;0.00;2,859.43;false;18.91;14886229;17085138;62562124;2917904;14292930;51583408;0;;;;;;false;true
AllConstraints;v4;i27;5;0;0.22;2,084.68;0.00;2,084.68;false;;;;;;;;0;;;;;;true;true
AllConstraints;v4;i27;6;69828;0.22;3,269.76;0.00;3,269.76;false;21.85;17292649;19614293;73070806;3246267;16653115;60665366;0;;;;;;false;true
AllConstraints;v4;i27;7;69828;0.23;3,208.53;0.00;3,208.53;false;21.45;17292649;19614293;73070806;3246267;16653115;60665366;0;;;;;;false;true
AllConstraints;v4;i27;8;69828;0.20;3,179.98;0.00;3,179.98;false;21.32;17292649;19614293;73070806;3246267;16653115;60665366;0;;;;;;false;true
AllConstraints;v4;i28;5;69667;0.22;926.38;2,845.97;2,845.97;true;10.90;7326149;8462703;30010621;1737429;8588488;30057681;0;;65,888.00;;;;false;false
AllConstraints;v4;i28;6;29554;0.21;1,508.22;0.00;1,508.22;false;10.49;7671490;9025252;31369128;1748983;7583238;26493241;0;;9,223.00;;;;false;false
AllConstraints;v4;i28;7;29554;0.21;1,500.93;0.00;1,500.93;false;10.45;7671490;9025252;31369128;1748983;7583238;26493241;0;;65,887.00;;;;false;false
AllConstraints;v4;i29;5;50780;0.21;680.07;2,140.24;2,140.24;true;7.71;5779312;6596059;23029419;1329799;5830413;20243591;1;111,875.00;6,413.00;0.94;true;62000;false;false
AllConstraints;v4;i29;6;22251;0.18;1,102.61;0.00;1,102.61;false;7.21;5841522;6725215;23349751;1332990;5840668;20283051;1;114,869.00;6,412.05;0.94;true;64263;false;false
AllConstraints;v4;i29;7;22251;0.18;1,084.87;0.00;1,084.87;false;7.13;5841522;6725215;23349751;1332990;5840668;20283051;1;114,869.00;6,412.05;0.94;true;64263;false;false
AllConstraints;v4;i30;5;75356;0.19;974.90;3,028.88;3,028.88;true;11.56;7824267;8996668;32087101;1835583;9161455;32228576;0;;3,607.00;;;;false;false
AllConstraints;v4;i30;6;31314;0.19;1,605.66;0.00;1,605.66;false;10.81;8090421;9505617;33335023;1832967;8035810;28176909;0;;555.00;;;;false;false
AllConstraints;v4;i30;7;31314;0.19;1,580.30;0.00;1,580.30;false;10.60;8090423;9505619;33335029;1832967;8035810;28176909;0;;20,477.00;;;;false;false
