model;version;instance;run;memoryMB;preprocessingTimeS;compileTimePassOneS;compileTimePassTwoS;totalCompileTimeS;compileOptimized;presolveTimeS;originalConstraints;originalVariables;originalCoefficients;presolvedConstraints;presolvedVariables;presolvedCoefficients;numberOfSolutions;bestObjective;bestBound;mipGap;isSolutionValid;objectiveByValidator;isCrashedCompile;isCrashedSolve
AllConstraints;v4;i26;5;132551;0.19;1853.49;7222.27;7222.27;true;41.30;14603030;16429990;60941213;2922814;15749453;57155729;0;;;;;;false;true
AllConstraints;v4;i26;6;57598;0.198;2883.14;-1.00;2883.14;false;18.82;14886229;17085138;62562124;2917904;14292930;51583408;0;;;;;;false;true
AllConstraints;v4;i26;7;57598;0.193;2859.43;-1.00;2859.43;false;18.91;14886229;17085138;62562124;2917904;14292930;51583408;0;;;;;;false;true
AllConstraints;v4;i27;5;0;0.217;2084.68;-1.00;2084.68;false;;;;;;;;0;;;;;;true;true
AllConstraints;v4;i27;6;69828;0.216;3269.76;-1.00;3269.76;false;21.85;17292649;19614293;73070806;3246267;16653115;60665366;0;;;;;;false;true
AllConstraints;v4;i27;7;69828;0.225;3208.53;-1.00;3208.53;false;21.45;17292649;19614293;73070806;3246267;16653115;60665366;0;;;;;;false;true
AllConstraints;v4;i27;8;69828;0.196;3179.98;-1.00;3179.98;false;21.32;17292649;19614293;73070806;3246267;16653115;60665366;0;;;;;;false;true
AllConstraints;v4;i28;5;69667;0.221;926.38;2845.97;2845.97;true;10.90;7326149;8462703;30010621;1737429;8588488;30057681;0;;65888.00;;;;false;false
AllConstraints;v4;i28;6;29554;0.213;1508.22;-1.00;1508.22;false;10.49;7671490;9025252;31369128;1748983;7583238;26493241;0;;9223.00;;;;false;false
AllConstraints;v4;i28;7;29554;0.214;1500.93;-1.00;1500.93;false;10.45;7671490;9025252;31369128;1748983;7583238;26493241;0;;65887.00;;;;false;false
AllConstraints;v4;i29;5;50780;0.214;680.07;2140.24;2140.24;true;7.71;5779312;6596059;23029419;1329799;5830413;20243591;1;111875.00;6413.00;0.9427;true;62000;false;false
AllConstraints;v4;i29;6;22251;0.185;1102.61;-1.00;1102.61;false;7.21;5841522;6725215;23349751;1332990;5840668;20283051;1;114869.00;6412.0499;0.9442;true;64263;false;false
AllConstraints;v4;i29;7;22251;0.182;1084.87;-1.00;1084.87;false;7.13;5841522;6725215;23349751;1332990;5840668;20283051;1;114869.00;6412.0499;0.9442;true;64263;false;false
AllConstraints;v4;i30;5;75356;0.189;974.90;3028.88;3028.88;true;11.56;7824267;8996668;32087101;1835583;9161455;32228576;0;;3607.00;;;;false;false
AllConstraints;v4;i30;6;31314;0.188;1605.66;-1.00;1605.66;false;10.81;8090421;9505617;33335023;1832967;8035810;28176909;0;;555.00;;;;false;false
AllConstraints;v4;i30;7;31314;0.19;1580.30;-1.00;1580.30;false;10.60;8090423;9505619;33335029;1832967;8035810;28176909;0;;20477.00;;;;false;false
