name,runtime_preproc_mean,runtime_preproc_stddev,runtime_gips_init_mean,runtime_gips_init_stddev,gurobi_model_rows_mean,gurobi_model_rows_stddev,gurobi_model_cols_mean,gurobi_model_cols_stddev,gurobi_model_nonzeros_mean,gurobi_model_nonzeros_stddev,guobi_solution_count_mean,gurobi_solution_count_stddev,gurobi_best_objective_mean,gurobi_best_objective_stddev,gurobi_best_bound_mean,gurobi_best_bound_stddev,gurobi_mip_mean,gurobi_mip_stddev,observer_runtime_model_load_mean,observer_runtime_model_load_stddev,observer_runtime_preproc_mean,observer_runtime_preproc_stddev,observer_runtime_init_gips_mean,observer_runtime_init_gips_stddev,observer_runtime_pm_mean,observer_runtime_pm_stddev,observer_runtime_build_gips_mean,observer_runtime_build_gips_stddev,observer_runtime_build_solver_mean,observer_runtime_build_solver_stddev,observer_runtime_build_mean,observer_runtime_build_stddev,observer_runtime_solve_problem_mean,observer_runtime_solve_problem_stddev,observer_runtime_solution_application_mean,observer_runtime_solution_application_stddev,observer_runtime_gips_save_mean,observer_runtime_gips_save_stddev,observer_runtime_model_validate_mean,observer_runtime_model_validate_stddev,observer_runtime_postproc_mean,observer_runtime_postproc_stddev,observer_runtime_export_mean,observer_runtime_export_stddev,observer_runtime_total_mean,observer_runtime_total_stddev
i21.json,7.148174856000001,0.14043335144469052,8.289656895666667,0.07679168763317899,2.043812E7,0.0,1.0427837E7,0.0,8.7189885E7,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
i22.json,11.900876302,0.19744338732536282,12.705583253,0.15004882751405024,3.26817E7,0.0,1.666339E7,0.0,1.37843233E8,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
i23.json,10.766926069666667,0.21846126100682356,11.556807958,0.16572584422878622,3.5001665E7,0.0,1.7739497E7,0.0,1.53236524E8,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
i24.json,17.681722342666664,0.31420319201805547,17.426960194,0.49891577333899073,7.3294693E7,0.0,3.7109364E7,0.0,3.26437172E8,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
i25.json,5.213159784333333,0.08057460249674597,6.784605650666667,0.16225021270590903,1.8395625E7,0.0,9363321.0,0.0,8.0776962E7,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
i26.json,16.01058974,0.07109875778944366,15.897112474000002,0.17407892909025546,5.215276E7,0.0,2.6577014E7,0.0,2.28158715E8,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
i27.json,18.098458026,0.11822603597616621,17.098735323333333,0.47829700881287823,5.7944705E7,0.0,2.954794E7,0.0,2.50768872E8,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
i28.json,8.453165726666668,0.06866648263198427,9.512603413333334,0.11613499546839588,2.753427E7,0.0,1.398583E7,0.0,1.20115393E8,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
i29.json,5.7717825000000005,0.04666673621652618,7.131623310999999,0.21762001144850215,1.9256999E7,0.0,9879598.0,0.0,8.5217192E7,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
i30.json,8.779261134,0.15557647942629377,9.525206994000001,0.2294652163948449,2.6803741E7,0.0,1.3649936E7,0.0,1.16243195E8,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
